time,symbol_id,symbol_name,last,trade_volume,trade_amount,open_interest_change,bv1,bp1,ap1,av1,yesterday_close,today_open,today_high,today_low,volume,amount,open_interest
2023-05-09 19:10:58,CF401C17400,CF401C17400,351.0,0.0,0.0,-40.0,0,0.0,0.0,0,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 20:59:00,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,19,105.0,0.0,0,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:00,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,111.0,667.0,12,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:01,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,111.0,661.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:02,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,12,188.0,661.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:03,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,189.0,660.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:04,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,12,266.0,583.0,12,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:05,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,267.0,583.0,12,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:05,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,267.0,571.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:06,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,267.0,570.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:06,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,12,335.0,493.0,12,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:07,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,336.0,492.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:09,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,336.0,415.0,12,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:09,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,336.0,414.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:10,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,336.0,414.0,20,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:10,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,336.0,380.0,12,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:00:11,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,336.0,379.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:01:12,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,336.0,360.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:01:13,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,350.0,360.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:01:15,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,350.0,358.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:01:30,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,350.0,356.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:01:32,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,350.0,358.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:01:43,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,352.0,360.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:02:28,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,354.0,360.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:02:31,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,354.0,382.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:02:32,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,354.0,363.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:02:35,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,356.0,363.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:03:22,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,354.0,361.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:03:27,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,352.0,359.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:03:31,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,350.0,359.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:03:40,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,350.0,357.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:03:47,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,346.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:03:53,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,346.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:04:01,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,20,340.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:04:02,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:04:03,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,345.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:04:33,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:04:35,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:04:41,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,13,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:04:41,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:07,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:09,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,13,345.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:20,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:21,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:24,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,13,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:24,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,23,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:24,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,13,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:24,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,23,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:27,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,13,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:27,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:27,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,13,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:27,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,355.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:33,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,354.0,10,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:33,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,354.0,20,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:34,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,347.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:45,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,345.0,353.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:47,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,345.0,351.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:49,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,23,343.0,351.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:49,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,13,343.0,351.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:05:50,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,351.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:20,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,351.0,13,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:20,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,351.0,23,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:22,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,351.0,13,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:26,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,351.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:30,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,351.0,13,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:30,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,351.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:38,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,3,343.0,349.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:39,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,341.0,349.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:40,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,20,341.0,349.0,3,351.0,375.0,0.0,0.0,0.0,0.0,410
2023-05-09 21:06:44,CF401C17400,CF401C17400,351.0,0.0,0.0,0.0,10,341.0,349.0,13,351.0,375.0,0.0,0.0,0.0,0.0,410
